priceDate,openPrice,highPrice,lowPrice,closePrice,adjClosePrice,Volume
2015-06-30,526.0200,526.2500,520.5000,520.5100,520.5100,2217200
2015-06-29,525.0100,528.6100,520.5400,521.5200,521.5200,1930900
2015-06-26,537.2600,537.7600,531.3500,531.6900,531.6900,2011500
2015-06-25,538.8700,540.9000,535.2300,535.2300,535.2300,1331500
2015-06-24,540.0000,540.0000,535.6600,537.8400,537.8400,1283400
2015-06-23,539.6400,541.4990,535.2500,540.4800,540.4800,1196000
2015-06-22,539.5900,543.7400,537.5300,538.1900,538.1900,1242500
2015-06-19,537.2100,538.2500,533.0100,536.6900,536.6900,1885700
2015-06-18,531.0000,538.1500,530.7900,536.7300,536.7300,1828100
2015-06-17,529.3700,530.9800,525.1000,529.2600,529.2600,1268600
2015-06-16,528.4000,529.6400,525.5600,528.1500,528.1500,1069300
2015-06-15,528.0000,528.3000,524.0000,527.2000,527.2000,1630700
2015-06-12,531.6000,533.1200,530.1600,532.3300,532.3300,952400
2015-06-11,538.4250,538.9800,533.0200,534.6100,534.6100,1205000
2015-06-10,529.3600,538.3600,529.3500,536.6900,536.6900,1811400
2015-06-09,527.5600,529.2000,523.0100,526.6900,526.6900,1441600
2015-06-08,533.3100,534.1200,526.2400,526.8300,526.8300,1520600
2015-06-05,536.3500,537.2000,532.5200,533.3300,533.3300,1375000
2015-06-04,537.7600,540.5900,534.3200,536.7000,536.7000,1335600
2015-06-03,539.9100,543.5000,537.1100,540.3100,540.3100,1714500
2015-06-02,532.9300,543.0000,531.3300,539.1800,539.1800,1934700
2015-06-01,536.7900,536.7900,529.7600,533.9900,533.9900,1899600
